N1	N2	X1	X2
c	1	1	0
17	c	b	0
22	17	15	0
2d	22	1f	0
38	2d	29	0
43	38	33	0
4e	43	3d	0
59	4e	47	0
64	59	51	0
6f	64	5b	0
