N1	N2	X1	X2
f1	fb	d2	0
fb	105	dc	0
105	10f	e6	0
10f	119	f0	0
119	123	fa	0
123	12d	104	0
12d	137	10e	0
137	141	118	0
141	14b	122	0
14b	155	12c	0
