N1	N2	X1	X2
1	2	1	0
2	3	2	0
3	4	3	0
4	5	4	0
5	6	5	0
6	7	6	0
7	8	7	0
8	9	8	0
9	a	9	0
a	b	a	0
b	7a	65	0
7a	7b	66	0
7b	7c	67	0
7c	7d	68	0
7d	7e	69	0
7e	7f	6a	0
7f	80	6b	0
80	81	6c	0
81	82	6d	0
82	83	6e	0
83	e8	c9	0
e8	e9	ca	0
e9	ea	cb	0
ea	eb	cc	0
eb	ec	cd	0
ec	ed	ce	0
ed	ee	cf	0
ee	ef	d0	0
ef	f0	d1	0
f0	f1	d2	0
