	0	1	2
0	0.0	0.0	0.0
1	0.1	0.0	0.0
2	0.2	0.0	0.0
3	0.3	0.0	0.0
4	0.4	0.0	0.0
5	0.5	0.0	0.0
6	0.6	0.0	0.0
7	0.7	0.0	0.0
8	0.8	0.0	0.0
9	0.9	0.0	0.0
10	1.0	0.0	0.0
11	0.0	0.1	0.0
12	0.1	0.1	0.0
13	0.2	0.1	0.0
14	0.3	0.1	0.0
15	0.4	0.1	0.0
16	0.5	0.1	0.0
17	0.6	0.1	0.0
18	0.7	0.1	0.0
19	0.8	0.1	0.0
20	0.9	0.1	0.0
21	1.0	0.1	0.0
22	0.0	0.2	0.0
23	0.1	0.2	0.0
24	0.2	0.2	0.0
25	0.3	0.2	0.0
26	0.4	0.2	0.0
27	0.5	0.2	0.0
28	0.6	0.2	0.0
29	0.7	0.2	0.0
30	0.8	0.2	0.0
31	0.9	0.2	0.0
32	1.0	0.2	0.0
33	0.0	0.3	0.0
34	0.1	0.3	0.0
35	0.2	0.3	0.0
36	0.3	0.3	0.0
37	0.4	0.3	0.0
38	0.5	0.3	0.0
39	0.6	0.3	0.0
40	0.7	0.3	0.0
41	0.8	0.3	0.0
42	0.9	0.3	0.0
43	1.0	0.3	0.0
44	0.0	0.4	0.0
45	0.1	0.4	0.0
46	0.2	0.4	0.0
47	0.3	0.4	0.0
48	0.4	0.4	0.0
49	0.5	0.4	0.0
50	0.6	0.4	0.0
51	0.7	0.4	0.0
52	0.8	0.4	0.0
53	0.9	0.4	0.0
54	1.0	0.4	0.0
55	0.0	0.5	0.0
56	0.1	0.5	0.0
57	0.2	0.5	0.0
58	0.3	0.5	0.0
59	0.4	0.5	0.0
60	0.5	0.5	0.0
61	0.6	0.5	0.0
62	0.7	0.5	0.0
63	0.8	0.5	0.0
64	0.9	0.5	0.0
65	1.0	0.5	0.0
66	0.0	0.6	0.0
67	0.1	0.6	0.0
68	0.2	0.6	0.0
69	0.3	0.6	0.0
70	0.4	0.6	0.0
71	0.5	0.6	0.0
72	0.6	0.6	0.0
73	0.7	0.6	0.0
74	0.8	0.6	0.0
75	0.9	0.6	0.0
76	1.0	0.6	0.0
77	0.0	0.7	0.0
78	0.1	0.7	0.0
79	0.2	0.7	0.0
80	0.3	0.7	0.0
81	0.4	0.7	0.0
82	0.5	0.7	0.0
83	0.6	0.7	0.0
84	0.7	0.7	0.0
85	0.8	0.7	0.0
86	0.9	0.7	0.0
87	1.0	0.7	0.0
88	0.0	0.8	0.0
89	0.1	0.8	0.0
90	0.2	0.8	0.0
91	0.3	0.8	0.0
92	0.4	0.8	0.0
93	0.5	0.8	0.0
94	0.6	0.8	0.0
95	0.7	0.8	0.0
96	0.8	0.8	0.0
97	0.9	0.8	0.0
98	1.0	0.8	0.0
99	0.0	0.9	0.0
100	0.1	0.9	0.0
101	0.2	0.9	0.0
102	0.3	0.9	0.0
103	0.4	0.9	0.0
104	0.5	0.9	0.0
105	0.6	0.9	0.0
106	0.7	0.9	0.0
107	0.8	0.9	0.0
108	0.9	0.9	0.0
109	1.0	0.9	0.0
110	0.0	1.0	0.0
111	0.1	1.0	0.0
112	0.2	1.0	0.0
113	0.3	1.0	0.0
114	0.4	1.0	0.0
115	0.5	1.0	0.0
116	0.6	1.0	0.0
117	0.7	1.0	0.0
118	0.8	1.0	0.0
119	0.9	1.0	0.0
120	1.0	1.0	0.0
121	0.0	0.0	0.01
122	0.1	0.0	0.01
123	0.2	0.0	0.01
124	0.3	0.0	0.01
125	0.4	0.0	0.01
126	0.5	0.0	0.01
127	0.6	0.0	0.01
128	0.7	0.0	0.01
129	0.8	0.0	0.01
130	0.9	0.0	0.01
131	1.0	0.0	0.01
132	0.0	0.1	0.01
133	0.1	0.1	0.01
134	0.2	0.1	0.01
135	0.3	0.1	0.01
