N1	N2	X1	X2
1a	1	1	0
33	1a	19	0
4c	33	31	0
65	4c	49	0
7e	65	61	0
97	7e	79	0
b0	97	91	0
c9	b0	a9	0
e2	c9	c1	0
fb	e2	d9	0
114	fb	f1	0
12d	114	109	0
146	12d	121	0
15f	146	139	0
178	15f	151	0
191	178	169	0
1aa	191	181	0
1c3	1aa	199	0
1dc	1c3	1b1	0
1f5	1dc	1c9	0
20e	1f5	1e1	0
227	20e	1f9	0
240	227	211	0
259	240	229	0
272	259	241	0
28b	272	259	0
2a4	28b	271	0
2bd	2a4	289	0
2d6	2bd	2a1	0
2ef	2d6	2b9	0
308	2ef	2d1	0
321	308	2e9	0
33a	321	301	0
353	33a	319	0
36c	353	331	0
385	36c	349	0
39e	385	361	0
3b7	39e	379	0
3d0	3b7	391	0
3e9	3d0	3a9	0
402	3e9	3c1	0
41b	402	3d9	0
434	41b	3f1	0
44d	434	409	0
466	44d	421	0
47f	466	439	0
498	47f	451	0
4b1	498	469	0
4ca	4b1	481	0
4e3	4ca	499	0
4fc	4e3	4b1	0
515	4fc	4c9	0
52e	515	4e1	0
547	52e	4f9	0
560	547	511	0
579	560	529	0
592	579	541	0
5ab	592	559	0
5c4	5ab	571	0
5dd	5c4	589	0
5f6	5dd	5a1	0
60f	5f6	5b9	0
628	60f	5d1	0
641	628	5e9	0
65a	641	601	0
673	65a	619	0
68c	673	631	0
6a5	68c	649	0
6be	6a5	661	0
6d7	6be	679	0
6f0	6d7	691	0
709	6f0	6a9	0
722	709	6c1	0
73b	722	6d9	0
754	73b	6f1	0
76d	754	709	0
786	76d	721	0
79f	786	739	0
7b8	79f	751	0
7d1	7b8	769	0
7ea	7d1	781	0
803	7ea	799	0
81c	803	7b1	0
835	81c	7c9	0
84e	835	7e1	0
867	84e	7f9	0
880	867	811	0
899	880	829	0
8b2	899	841	0
8cb	8b2	859	0
8e4	8cb	871	0
8fd	8e4	889	0
916	8fd	8a1	0
92f	916	8b9	0
948	92f	8d1	0
961	948	8e9	0
97a	961	901	0
993	97a	919	0
9ac	993	931	0
9c5	9ac	949	0
9de	9c5	961	0
9f7	9de	979	0
a10	9f7	991	0
a29	a10	9a9	0
a42	a29	9c1	0
a5b	a42	9d9	0
a74	a5b	9f1	0
a8d	a74	a09	0
aa6	a8d	a21	0
abf	aa6	a39	0
ad8	abf	a51	0
af1	ad8	a69	0
b0a	af1	a81	0
b23	b0a	a99	0
b3c	b23	ab1	0
b55	b3c	ac9	0
b6e	b55	ae1	0
b87	b6e	af9	0
ba0	b87	b11	0
bb9	ba0	b29	0
bd2	bb9	b41	0
beb	bd2	b59	0
c04	beb	b71	0
c1d	c04	b89	0
c36	c1d	ba1	0
c4f	c36	bb9	0
c68	c4f	bd1	0
c81	c68	be9	0
c9a	c81	c01	0
cb3	c9a	c19	0
ccc	cb3	c31	0
ce5	ccc	c49	0
cfe	ce5	c61	0
d17	cfe	c79	0
d30	d17	c91	0
d49	d30	ca9	0
d62	d49	cc1	0
d7b	d62	cd9	0
d94	d7b	cf1	0
dad	d94	d09	0
dc6	dad	d21	0
ddf	dc6	d39	0
df8	ddf	d51	0
e11	df8	d69	0
e2a	e11	d81	0
e43	e2a	d99	0
e5c	e43	db1	0
e75	e5c	dc9	0
e8e	e75	de1	0
ea7	e8e	df9	0
ec0	ea7	e11	0
ed9	ec0	e29	0
ef2	ed9	e41	0
f0b	ef2	e59	0
f24	f0b	e71	0
f3d	f24	e89	0
f56	f3d	ea1	0
f6f	f56	eb9	0
f88	f6f	ed1	0
fa1	f88	ee9	0
fba	fa1	f01	0
