N1	N2	X1	X2
fd3	fba	f19	0
fec	fd3	f31	0
1005	fec	f49	0
101e	1005	f61	0
1037	101e	f79	0
1050	1037	f91	0
1069	1050	fa9	0
1082	1069	fc1	0
109b	1082	fd9	0
10b4	109b	ff1	0
10cd	10b4	1009	0
10e6	10cd	1021	0
10ff	10e6	1039	0
1118	10ff	1051	0
1131	1118	1069	0
114a	1131	1081	0
1163	114a	1099	0
117c	1163	10b1	0
1195	117c	10c9	0
11ae	1195	10e1	0
11c7	11ae	10f9	0
11e0	11c7	1111	0
11f9	11e0	1129	0
1212	11f9	1141	0
122b	1212	1159	0
1244	122b	1171	0
125d	1244	1189	0
1276	125d	11a1	0
128f	1276	11b9	0
12a8	128f	11d1	0
12c1	12a8	11e9	0
12da	12c1	1201	0
12f3	12da	1219	0
130c	12f3	1231	0
1325	130c	1249	0
133e	1325	1261	0
1357	133e	1279	0
1370	1357	1291	0
1389	1370	12a9	0
13a2	1389	12c1	0
13bb	13a2	12d9	0
13d4	13bb	12f1	0
13ed	13d4	1309	0
1406	13ed	1321	0
141f	1406	1339	0
1438	141f	1351	0
1451	1438	1369	0
146a	1451	1381	0
1483	146a	1399	0
149c	1483	13b1	0
14b5	149c	13c9	0
14ce	14b5	13e1	0
14e7	14ce	13f9	0
1500	14e7	1411	0
1519	1500	1429	0
1532	1519	1441	0
154b	1532	1459	0
1564	154b	1471	0
157d	1564	1489	0
1596	157d	14a1	0
15af	1596	14b9	0
15c8	15af	14d1	0
15e1	15c8	14e9	0
15fa	15e1	1501	0
1613	15fa	1519	0
162c	1613	1531	0
1645	162c	1549	0
165e	1645	1561	0
1677	165e	1579	0
1690	1677	1591	0
16a9	1690	15a9	0
16c2	16a9	15c1	0
16db	16c2	15d9	0
16f4	16db	15f1	0
170d	16f4	1609	0
1726	170d	1621	0
173f	1726	1639	0
1758	173f	1651	0
1771	1758	1669	0
178a	1771	1681	0
17a3	178a	1699	0
17bc	17a3	16b1	0
17d5	17bc	16c9	0
17ee	17d5	16e1	0
1807	17ee	16f9	0
1820	1807	1711	0
1839	1820	1729	0
1852	1839	1741	0
186b	1852	1759	0
1884	186b	1771	0
189d	1884	1789	0
18b6	189d	17a1	0
18cf	18b6	17b9	0
18e8	18cf	17d1	0
1901	18e8	17e9	0
191a	1901	1801	0
1933	191a	1819	0
194c	1933	1831	0
1965	194c	1849	0
197e	1965	1861	0
1997	197e	1879	0
19b0	1997	1891	0
19c9	19b0	18a9	0
19e2	19c9	18c1	0
19fb	19e2	18d9	0
1a14	19fb	18f1	0
1a2d	1a14	1909	0
1a46	1a2d	1921	0
1a5f	1a46	1939	0
1a78	1a5f	1951	0
1a91	1a78	1969	0
1aaa	1a91	1981	0
1ac3	1aaa	1999	0
1adc	1ac3	19b1	0
1af5	1adc	19c9	0
1b0e	1af5	19e1	0
1b27	1b0e	19f9	0
1b40	1b27	1a11	0
1b59	1b40	1a29	0
1b72	1b59	1a41	0
1b8b	1b72	1a59	0
1ba4	1b8b	1a71	0
1bbd	1ba4	1a89	0
1bd6	1bbd	1aa1	0
1bef	1bd6	1ab9	0
1c08	1bef	1ad1	0
1c21	1c08	1ae9	0
1c3a	1c21	1b01	0
1c53	1c3a	1b19	0
1c6c	1c53	1b31	0
1c85	1c6c	1b49	0
1c9e	1c85	1b61	0
1cb7	1c9e	1b79	0
1cd0	1cb7	1b91	0
1ce9	1cd0	1ba9	0
1d02	1ce9	1bc1	0
1d1b	1d02	1bd9	0
1d34	1d1b	1bf1	0
1d4d	1d34	1c09	0
1d66	1d4d	1c21	0
1d7f	1d66	1c39	0
1d98	1d7f	1c51	0
1db1	1d98	1c69	0
1dca	1db1	1c81	0
1de3	1dca	1c99	0
1dfc	1de3	1cb1	0
1e15	1dfc	1cc9	0
1e2e	1e15	1ce1	0
1e47	1e2e	1cf9	0
1e60	1e47	1d11	0
1e79	1e60	1d29	0
1e92	1e79	1d41	0
1eab	1e92	1d59	0
1ec4	1eab	1d71	0
1edd	1ec4	1d89	0
1ef6	1edd	1da1	0
1f0f	1ef6	1db9	0
1f28	1f0f	1dd1	0
1f41	1f28	1de9	0
1f5a	1f41	1e01	0
1f73	1f5a	1e19	0
1f8c	1f73	1e31	0
1fa5	1f8c	1e49	0
1fbe	1fa5	1e61	0
1fd7	1fbe	1e79	0
1ff0	1fd7	1e91	0
2009	1ff0	1ea9	0
2022	2009	1ec1	0
203b	2022	1ed9	0
2054	203b	1ef1	0
206d	2054	1f09	0
2086	206d	1f21	0
209f	2086	1f39	0
20b8	209f	1f51	0
20d1	20b8	1f69	0
20ea	20d1	1f81	0
2103	20ea	1f99	0
211c	2103	1fb1	0
2135	211c	1fc9	0
214e	2135	1fe1	0
2167	214e	1ff9	0
2180	2167	2011	0
2199	2180	2029	0
21b2	2199	2041	0
21cb	21b2	2059	0
21e4	21cb	2071	0
21fd	21e4	2089	0
2216	21fd	20a1	0
222f	2216	20b9	0
2248	222f	20d1	0
2261	2248	20e9	0
227a	2261	2101	0
2293	227a	2119	0
22ac	2293	2131	0
22c5	22ac	2149	0
22de	22c5	2161	0
22f7	22de	2179	0
2310	22f7	2191	0
2329	2310	21a9	0
2342	2329	21c1	0
235b	2342	21d9	0
2374	235b	21f1	0
238d	2374	2209	0
23a6	238d	2221	0
23bf	23a6	2239	0
23d8	23bf	2251	0
23f1	23d8	2269	0
240a	23f1	2281	0
2423	240a	2299	0
243c	2423	22b1	0
2455	243c	22c9	0
246e	2455	22e1	0
2487	246e	22f9	0
24a0	2487	2311	0
24b9	24a0	2329	0
24d2	24b9	2341	0
24eb	24d2	2359	0
2504	24eb	2371	0
251d	2504	2389	0
2536	251d	23a1	0
254f	2536	23b9	0
2568	254f	23d1	0
2581	2568	23e9	0
259a	2581	2401	0
25b3	259a	2419	0
25cc	25b3	2431	0
25e5	25cc	2449	0
25fe	25e5	2461	0
2617	25fe	2479	0
2630	2617	2491	0
2649	2630	24a9	0
2662	2649	24c1	0
267b	2662	24d9	0
2694	267b	24f1	0
26ad	2694	2509	0
26c6	26ad	2521	0
26df	26c6	2539	0
26f8	26df	2551	0
2711	26f8	2569	0
272a	2711	2581	0
2743	272a	2599	0
275c	2743	25b1	0
2775	275c	25c9	0
278e	2775	25e1	0
27a7	278e	25f9	0
27c0	27a7	2611	0
27d9	27c0	2629	0
27f2	27d9	2641	0
280b	27f2	2659	0
2824	280b	2671	0
283d	2824	2689	0
2856	283d	26a1	0
286f	2856	26b9	0
2888	286f	26d1	0
28a1	2888	26e9	0
28ba	28a1	2701	0
28d3	28ba	2719	0
28ec	28d3	2731	0
2905	28ec	2749	0
291e	2905	2761	0
2937	291e	2779	0
2950	2937	2791	0
2969	2950	27a9	0
2982	2969	27c1	0
299b	2982	27d9	0
29b4	299b	27f1	0
29cd	29b4	2809	0
29e6	29cd	2821	0
29ff	29e6	2839	0
2a18	29ff	2851	0
2a31	2a18	2869	0
2a4a	2a31	2881	0
2a63	2a4a	2899	0
2a7c	2a63	28b1	0
2a95	2a7c	28c9	0
2aae	2a95	28e1	0
2ac7	2aae	28f9	0
2ae0	2ac7	2911	0
2af9	2ae0	2929	0
2b12	2af9	2941	0
2b2b	2b12	2959	0
2b44	2b2b	2971	0
2b5d	2b44	2989	0
2b76	2b5d	29a1	0
2b8f	2b76	29b9	0
2ba8	2b8f	29d1	0
2bc1	2ba8	29e9	0
2bda	2bc1	2a01	0
2bf3	2bda	2a19	0
2c0c	2bf3	2a31	0
2c25	2c0c	2a49	0
2c3e	2c25	2a61	0
2c57	2c3e	2a79	0
2c70	2c57	2a91	0
2c89	2c70	2aa9	0
2ca2	2c89	2ac1	0
2cbb	2ca2	2ad9	0
2cd4	2cbb	2af1	0
2ced	2cd4	2b09	0
2d06	2ced	2b21	0
2d1f	2d06	2b39	0
2d38	2d1f	2b51	0
2d51	2d38	2b69	0
2d6a	2d51	2b81	0
2d83	2d6a	2b99	0
2d9c	2d83	2bb1	0
2db5	2d9c	2bc9	0
2dce	2db5	2be1	0
2de7	2dce	2bf9	0
2e00	2de7	2c11	0
2e19	2e00	2c29	0
2e32	2e19	2c41	0
2e4b	2e32	2c59	0
2e64	2e4b	2c71	0
2e7d	2e64	2c89	0
2e96	2e7d	2ca1	0
2eaf	2e96	2cb9	0
2ec8	2eaf	2cd1	0
2ee1	2ec8	2ce9	0
2efa	2ee1	2d01	0
2f13	2efa	2d19	0
2f2c	2f13	2d31	0
2f45	2f2c	2d49	0
2f5e	2f45	2d61	0
2f77	2f5e	2d79	0
2f90	2f77	2d91	0
2fa9	2f90	2da9	0
2fc2	2fa9	2dc1	0
2fdb	2fc2	2dd9	0
2ff4	2fdb	2df1	0
300d	2ff4	2e09	0
3026	300d	2e21	0
303f	3026	2e39	0
3058	303f	2e51	0
3071	3058	2e69	0
308a	3071	2e81	0
30a3	308a	2e99	0
30bc	30a3	2eb1	0
30d5	30bc	2ec9	0
