N1	N2	X1	X2
1b78e	30ed	1b4b9	0
1b78f	1b78e	1b4ba	0
1b790	1b78f	1b4bb	0
1b791	1b790	1b4bc	0
1b792	1b791	1b4bd	0
1b793	1b792	1b4be	0
1b794	1b793	1b4bf	0
1b795	1b794	1b4c0	0
1b796	1b795	1b4c1	0
1b797	1b796	1b4c2	0
1b798	1b797	1b4c3	0
1b799	1b798	1b4c4	0
1b79a	1b799	1b4c5	0
1b79b	1b79a	1b4c6	0
1b79c	1b79b	1b4c7	0
1b79d	1b79c	1b4c8	0
1b79e	1b79d	1b4c9	0
1b79f	1b79e	1b4ca	0
1b7a0	1b79f	1b4cb	0
1b7a1	1b7a0	1b4cc	0
1b7a2	1b7a1	1b4cd	0
1b7a3	1b7a2	1b4ce	0
1b7a4	1b7a3	1b4cf	0
1b7a5	1b7a4	1b4d0	0
1b7a6	1b7a5	1b4d1	0
1b7a7	1b7a6	1b4d2	0
1b7a8	1b7a7	1b4d3	0
1b7a9	1b7a8	1b4d4	0
1b7aa	1b7a9	1b4d5	0
1b7ab	1b7aa	1b4d6	0
1b7ac	1b7ab	1b4d7	0
1b7ad	1b7ac	1b4d8	0
1b7ae	1b7ad	1b4d9	0
1b7af	1b7ae	1b4da	0
1b7b0	1b7af	1b4db	0
1b7b1	1b7b0	1b4dc	0
1b7b2	1b7b1	1b4dd	0
1b7b3	1b7b2	1b4de	0
1b7b4	1b7b3	1b4df	0
1b7b5	1b7b4	1b4e0	0
1b7b6	1b7b5	1b4e1	0
1b7b7	1b7b6	1b4e2	0
1b7b8	1b7b7	1b4e3	0
1b7b9	1b7b8	1b4e4	0
1b7ba	1b7b9	1b4e5	0
1b7bb	1b7ba	1b4e6	0
1b7bc	1b7bb	1b4e7	0
1b7bd	1b7bc	1b4e8	0
1b7be	1b7bd	1b4e9	0
1b7bf	1b7be	1b4ea	0
1b7c0	1b7bf	1b4eb	0
1b7c1	1b7c0	1b4ec	0
1b7c2	1b7c1	1b4ed	0
