N1	N2	X1	X2
1b875	1b895	1b5a0	0
1b895	1b8b5	1b5c0	0
1b8b5	1b8d5	1b5e0	0
1b8d5	1b8f5	1b600	0
1b8f5	1b915	1b620	0
1b915	1b935	1b640	0
1b935	1b955	1b660	0
1b955	1b975	1b680	0
1b975	1b995	1b6a0	0
1b995	1b9b5	1b6c0	0
1b9b5	1b9d5	1b6e0	0
1b9d5	1b9f5	1b700	0
1b9f5	1ba15	1b720	0
1ba15	1ba35	1b740	0
1ba35	1ba55	1b760	0
1ba55	1ba75	1b780	0
1ba75	1ba95	1b7a0	0
1ba95	1bab5	1b7c0	0
1bab5	1bad5	1b7e0	0
1bad5	1baf5	1b800	0
1baf5	1bb15	1b820	0
1bb15	1bb35	1b840	0
1bb35	1bb55	1b860	0
1bb55	1bb75	1b880	0
1bb75	1bb95	1b8a0	0
1bb95	1bbb5	1b8c0	0
1bbb5	1bbd5	1b8e0	0
1bbd5	1bbf5	1b900	0
1bbf5	1bc15	1b920	0
1bc15	1bc35	1b940	0
1bc35	1bc55	1b960	0
1bc55	1bc75	1b980	0
1bc75	1bc95	1b9a0	0
1bc95	1bcb5	1b9c0	0
1bcb5	1bcd5	1b9e0	0
1bcd5	1bcf5	1ba00	0
1bcf5	1bd15	1ba20	0
1bd15	1bd35	1ba40	0
1bd35	1bd55	1ba60	0
1bd55	1bd75	1ba80	0
1bd75	1bd95	1baa0	0
1bd95	1bdb5	1bac0	0
1bdb5	1bdd5	1bae0	0
1bdd5	1bdf5	1bb00	0
1bdf5	1be15	1bb20	0
1be15	1be35	1bb40	0
1be35	1be55	1bb60	0
1be55	1be75	1bb80	0
1be75	1be95	1bba0	0
1be95	1beb5	1bbc0	0
1beb5	1bed5	1bbe0	0
1bed5	1bef5	1bc00	0
1bef5	1bf15	1bc20	0
1bf15	1bf35	1bc40	0
1bf35	1bf55	1bc60	0
1bf55	1bf75	1bc80	0
1bf75	1bf95	1bca0	0
1bf95	1bfb5	1bcc0	0
1bfb5	1bfd5	1bce0	0
1bfd5	1bff5	1bd00	0
1bff5	1c015	1bd20	0
1c015	1c035	1bd40	0
1c035	1c055	1bd60	0
1c055	1c075	1bd80	0
1c075	1c095	1bda0	0
1c095	1c0b5	1bdc0	0
1c0b5	1c0d5	1bde0	0
1c0d5	1c0f5	1be00	0
1c0f5	1c115	1be20	0
1c115	1c135	1be40	0
1c135	1c155	1be60	0
1c155	1c175	1be80	0
1c175	1c195	1bea0	0
1c195	1c1b5	1bec0	0
1c1b5	1c1d5	1bee0	0
1c1d5	1c1f5	1bf00	0
1c1f5	1c215	1bf20	0
1c215	1c235	1bf40	0
1c235	1c255	1bf60	0
1c255	1c275	1bf80	0
1c275	1c295	1bfa0	0
1c295	1c2b5	1bfc0	0
1c2b5	1c2d5	1bfe0	0
1c2d5	1c2f5	1c000	0
1c2f5	1c315	1c020	0
1c315	1c335	1c040	0
1c335	1c355	1c060	0
1c355	1c375	1c080	0
