N1	N2	X1	X2
1c375	1c395	1c0a0	0
1c395	1c3b5	1c0c0	0
1c3b5	1c3d5	1c0e0	0
1c3d5	1c3f5	1c100	0
1c3f5	1c415	1c120	0
1c415	1c435	1c140	0
1c435	1c455	1c160	0
1c455	1c475	1c180	0
1c475	1c495	1c1a0	0
1c495	1c4b5	1c1c0	0
1c4b5	1c4d5	1c1e0	0
1c4d5	1c4f5	1c200	0
1c4f5	1c515	1c220	0
1c515	1c535	1c240	0
1c535	1c555	1c260	0
1c555	1c575	1c280	0
1c575	1c595	1c2a0	0
1c595	1c5b5	1c2c0	0
1c5b5	1c5d5	1c2e0	0
1c5d5	1c5f5	1c300	0
1c5f5	1c615	1c320	0
1c615	1c635	1c340	0
1c635	1c655	1c360	0
1c655	1c675	1c380	0
1c675	1c695	1c3a0	0
1c695	1c6b5	1c3c0	0
1c6b5	1c6d5	1c3e0	0
1c6d5	1c6f5	1c400	0
1c6f5	1c715	1c420	0
1c715	1c735	1c440	0
1c735	1c755	1c460	0
1c755	1c775	1c480	0
1c775	1c795	1c4a0	0
1c795	1c7b5	1c4c0	0
1c7b5	1c7d5	1c4e0	0
1c7d5	1c7f5	1c500	0
1c7f5	1c815	1c520	0
1c815	1c835	1c540	0
1c835	1c855	1c560	0
1c855	1c875	1c580	0
1c875	1c895	1c5a0	0
1c895	1c8b5	1c5c0	0
1c8b5	1c8d5	1c5e0	0
1c8d5	1c8f5	1c600	0
1c8f5	1c915	1c620	0
1c915	1c935	1c640	0
1c935	1c955	1c660	0
1c955	1c975	1c680	0
1c975	1c995	1c6a0	0
1c995	1c9b5	1c6c0	0
1c9b5	1c9d5	1c6e0	0
1c9d5	1c9f5	1c700	0
1c9f5	1ca15	1c720	0
1ca15	1ca35	1c740	0
1ca35	1ca55	1c760	0
1ca55	1ca75	1c780	0
1ca75	1ca95	1c7a0	0
1ca95	1cab5	1c7c0	0
1cab5	1cad5	1c7e0	0
1cad5	1caf5	1c800	0
1caf5	1cb15	1c820	0
1cb15	1cb35	1c840	0
1cb35	1cb55	1c860	0
1cb55	1cb75	1c880	0
1cb75	1cb95	1c8a0	0
1cb95	1cbb5	1c8c0	0
1cbb5	1cbd5	1c8e0	0
1cbd5	1cbf5	1c900	0
1cbf5	1cc15	1c920	0
1cc15	1cc35	1c940	0
1cc35	1cc55	1c960	0
1cc55	1cc75	1c980	0
1cc75	1cc95	1c9a0	0
1cc95	1ccb5	1c9c0	0
1ccb5	1ccd5	1c9e0	0
1ccd5	1ccf5	1ca00	0
1ccf5	1cd15	1ca20	0
1cd15	1cd35	1ca40	0
1cd35	1cd55	1ca60	0
1cd55	1cd75	1ca80	0
1cd75	1cd95	1caa0	0
1cd95	1cdb5	1cac0	0
1cdb5	1cdd5	1cae0	0
1cdd5	1cdf5	1cb00	0
1cdf5	1ce15	1cb20	0
1ce15	1ce35	1cb40	0
1ce35	1ce55	1cb60	0
1ce55	1ce75	1cb80	0
1ce75	1ce95	1cba0	0
1ce95	1ceb5	1cbc0	0
1ceb5	1ced5	1cbe0	0
1ced5	1cef5	1cc00	0
1cef5	1cf15	1cc20	0
1cf15	1cf35	1cc40	0
1cf35	1cf55	1cc60	0
1cf55	1cf75	1cc80	0
1cf75	1cf95	1cca0	0
1cf95	1cfb5	1ccc0	0
1cfb5	1cfd5	1cce0	0
1cfd5	1cff5	1cd00	0
1cff5	1d015	1cd20	0
1d015	1d035	1cd40	0
1d035	1d055	1cd60	0
1d055	1d075	1cd80	0
1d075	1d095	1cda0	0
1d095	1d0b5	1cdc0	0
1d0b5	1d0d5	1cde0	0
1d0d5	1d0f5	1ce00	0
1d0f5	1d115	1ce20	0
1d115	1d135	1ce40	0
1d135	1d155	1ce60	0
1d155	1d175	1ce80	0
1d175	1d195	1cea0	0
1d195	1d1b5	1cec0	0
1d1b5	1d1d5	1cee0	0
1d1d5	1d1f5	1cf00	0
1d1f5	1d215	1cf20	0
1d215	1d235	1cf40	0
1d235	1d255	1cf60	0
1d255	1d275	1cf80	0
1d275	1d295	1cfa0	0
1d295	1d2b5	1cfc0	0
1d2b5	1d2d5	1cfe0	0
1d2d5	1d2f5	1d000	0
1d2f5	1d315	1d020	0
1d315	1d335	1d040	0
1d335	1d355	1d060	0
1d355	1d375	1d080	0
1d375	1d395	1d0a0	0
1d395	1d3b5	1d0c0	0
1d3b5	1d3d5	1d0e0	0
1d3d5	1d3f5	1d100	0
1d3f5	1d415	1d120	0
1d415	1d435	1d140	0
1d435	1d455	1d160	0
1d455	1d475	1d180	0
1d475	1d495	1d1a0	0
1d495	1d4b5	1d1c0	0
1d4b5	1d4d5	1d1e0	0
1d4d5	1d4f5	1d200	0
1d4f5	1d515	1d220	0
1d515	1d535	1d240	0
1d535	1d555	1d260	0
1d555	1d575	1d280	0
1d575	1d595	1d2a0	0
1d595	1d5b5	1d2c0	0
1d5b5	1d5d5	1d2e0	0
1d5d5	1d5f5	1d300	0
1d5f5	1d615	1d320	0
1d615	1d635	1d340	0
1d635	1d655	1d360	0
1d655	1d675	1d380	0
1d675	1d695	1d3a0	0
1d695	1d6b5	1d3c0	0
1d6b5	1d6d5	1d3e0	0
1d6d5	1d6f5	1d400	0
1d6f5	1d715	1d420	0
1d715	1d735	1d440	0
1d735	1d755	1d460	0
1d755	1d775	1d480	0
1d775	1d795	1d4a0	0
1d795	1d7b5	1d4c0	0
1d7b5	1d7d5	1d4e0	0
1d7d5	1d7f5	1d500	0
1d7f5	1d815	1d520	0
1d815	1d835	1d540	0
1d835	1d855	1d560	0
1d855	1d875	1d580	0
1d875	1d895	1d5a0	0
1d895	1d8b5	1d5c0	0
1d8b5	1d8d5	1d5e0	0
1d8d5	1d8f5	1d600	0
1d8f5	1d915	1d620	0
1d915	1d935	1d640	0
1d935	1d955	1d660	0
1d955	1d975	1d680	0
1d975	1d995	1d6a0	0
1d995	1d9b5	1d6c0	0
1d9b5	1d9d5	1d6e0	0
1d9d5	1d9f5	1d700	0
1d9f5	1da15	1d720	0
1da15	1da35	1d740	0
1da35	1da55	1d760	0
1da55	1da75	1d780	0
1da75	1da95	1d7a0	0
1da95	1dab5	1d7c0	0
1dab5	1dad5	1d7e0	0
1dad5	1daf5	1d800	0
1daf5	1db15	1d820	0
1db15	1db35	1d840	0
1db35	1db55	1d860	0
1db55	1db75	1d880	0
1db75	1db95	1d8a0	0
1db95	1dbb5	1d8c0	0
1dbb5	1dbd5	1d8e0	0
1dbd5	1dbf5	1d900	0
1dbf5	1dc15	1d920	0
1dc15	1dc35	1d940	0
1dc35	1dc55	1d960	0
1dc55	1dc75	1d980	0
1dc75	1dc95	1d9a0	0
1dc95	1dcb5	1d9c0	0
1dcb5	1dcd5	1d9e0	0
1dcd5	1dcf5	1da00	0
1dcf5	1dd15	1da20	0
1dd15	1dd35	1da40	0
1dd35	1dd55	1da60	0
1dd55	1dd75	1da80	0
1dd75	1dd95	1daa0	0
1dd95	1ddb5	1dac0	0
1ddb5	1ddd5	1dae0	0
1ddd5	1ddf5	1db00	0
1ddf5	1de15	1db20	0
1de15	1de35	1db40	0
1de35	1de55	1db60	0
1de55	1de75	1db80	0
1de75	1de95	1dba0	0
1de95	1deb5	1dbc0	0
1deb5	1ded5	1dbe0	0
1ded5	1def5	1dc00	0
1def5	1df15	1dc20	0
1df15	1df35	1dc40	0
1df35	1df55	1dc60	0
1df55	1df75	1dc80	0
1df75	1df95	1dca0	0
1df95	1dfb5	1dcc0	0
1dfb5	1dfd5	1dce0	0
1dfd5	1dff5	1dd00	0
1dff5	1e015	1dd20	0
1e015	1e035	1dd40	0
1e035	1e055	1dd60	0
1e055	1e075	1dd80	0
1e075	1e095	1dda0	0
1e095	1e0b5	1ddc0	0
1e0b5	1e0d5	1dde0	0
1e0d5	1e0f5	1de00	0
1e0f5	1e115	1de20	0
1e115	1e135	1de40	0
1e135	1e155	1de60	0
1e155	1e175	1de80	0
1e175	1e195	1dea0	0
1e195	1e1b5	1dec0	0
1e1b5	1e1d5	1dee0	0
1e1d5	1e1f5	1df00	0
1e1f5	1e215	1df20	0
1e215	1e235	1df40	0
1e235	1e255	1df60	0
1e255	1e275	1df80	0
1e275	1e295	1dfa0	0
1e295	1e2b5	1dfc0	0
1e2b5	1e2d5	1dfe0	0
1e2d5	1e2f5	1e000	0
1e2f5	1e315	1e020	0
1e315	1e335	1e040	0
1e335	1e355	1e060	0
1e355	1e375	1e080	0
1e375	1e395	1e0a0	0
1e395	1e3b5	1e0c0	0
1e3b5	1e3d5	1e0e0	0
1e3d5	1e3f5	1e100	0
1e3f5	1e415	1e120	0
1e415	1e435	1e140	0
1e435	1e455	1e160	0
1e455	1e475	1e180	0
1e475	1e495	1e1a0	0
1e495	1e4b5	1e1c0	0
1e4b5	1e4d5	1e1e0	0
1e4d5	1e4f5	1e200	0
1e4f5	1e515	1e220	0
1e515	1e535	1e240	0
1e535	1e555	1e260	0
1e555	1e575	1e280	0
1e575	1e595	1e2a0	0
1e595	1e5b5	1e2c0	0
1e5b5	1e5d5	1e2e0	0
1e5d5	1e5f5	1e300	0
1e5f5	1e615	1e320	0
1e615	1e635	1e340	0
1e635	1e655	1e360	0
1e655	1e675	1e380	0
1e675	1e695	1e3a0	0
1e695	1e6b5	1e3c0	0
1e6b5	1e6d5	1e3e0	0
1e6d5	1e6f5	1e400	0
1e6f5	1e715	1e420	0
1e715	1e735	1e440	0
1e735	1e755	1e460	0
1e755	1e775	1e480	0
1e775	1e795	1e4a0	0
1e795	1e7b5	1e4c0	0
1e7b5	1e7d5	1e4e0	0
1e7d5	1e7f5	1e500	0
1e7f5	1e815	1e520	0
1e815	1e835	1e540	0
1e835	1e855	1e560	0
1e855	1e875	1e580	0
1e875	1e895	1e5a0	0
1e895	1e8b5	1e5c0	0
1e8b5	1e8d5	1e5e0	0
1e8d5	1e8f5	1e600	0
1e8f5	1e915	1e620	0
1e915	1e935	1e640	0
1e935	1e955	1e660	0
1e955	1e975	1e680	0
1e975	1e995	1e6a0	0
1e995	1e9b5	1e6c0	0
1e9b5	1e9d5	1e6e0	0
1e9d5	1e9f5	1e700	0
1e9f5	1ea15	1e720	0
1ea15	1ea35	1e740	0
1ea35	1ea55	1e760	0
1ea55	1ea75	1e780	0
1ea75	1ea95	1e7a0	0
1ea95	1eab5	1e7c0	0
1eab5	1ead5	1e7e0	0
1ead5	1eaf5	1e800	0
1eaf5	1eb15	1e820	0
1eb15	1eb35	1e840	0
1eb35	1eb55	1e860	0
1eb55	1eb75	1e880	0
1eb75	1eb95	1e8a0	0
1eb95	1ebb5	1e8c0	0
1ebb5	1ebd5	1e8e0	0
1ebd5	1ebf5	1e900	0
1ebf5	1ec15	1e920	0
1ec15	1ec35	1e940	0
1ec35	1ec55	1e960	0
1ec55	1ec75	1e980	0
1ec75	1ec95	1e9a0	0
1ec95	1ecb5	1e9c0	0
1ecb5	1ecd5	1e9e0	0
1ecd5	1ecf5	1ea00	0
1ecf5	1ed15	1ea20	0
1ed15	1ed35	1ea40	0
1ed35	1ed55	1ea60	0
1ed55	1ed75	1ea80	0
1ed75	1ed95	1eaa0	0
1ed95	1edb5	1eac0	0
1edb5	1edd5	1eae0	0
1edd5	1edf5	1eb00	0
1edf5	1ee15	1eb20	0
1ee15	1ee35	1eb40	0
1ee35	1ee55	1eb60	0
1ee55	1ee75	1eb80	0
1ee75	1ee95	1eba0	0
1ee95	1eeb5	1ebc0	0
1eeb5	1eed5	1ebe0	0
1eed5	1eef5	1ec00	0
1eef5	1ef15	1ec20	0
1ef15	1ef35	1ec40	0
1ef35	1ef55	1ec60	0
1ef55	1ef75	1ec80	0
1ef75	1ef95	1eca0	0
1ef95	1efb5	1ecc0	0
1efb5	1efd5	1ece0	0
1efd5	1eff5	1ed00	0
1eff5	1f015	1ed20	0
1f015	1f035	1ed40	0
1f035	1f055	1ed60	0
1f055	1f075	1ed80	0
1f075	1f095	1eda0	0
1f095	1f0b5	1edc0	0
1f0b5	1f0d5	1ede0	0
1f0d5	1f0f5	1ee00	0
1f0f5	1f115	1ee20	0
1f115	1f135	1ee40	0
1f135	1f155	1ee60	0
1f155	1f175	1ee80	0
1f175	1f195	1eea0	0
1f195	1f1b5	1eec0	0
1f1b5	1f1d5	1eee0	0
1f1d5	1f1f5	1ef00	0
1f1f5	1f215	1ef20	0
1f215	1f235	1ef40	0
1f235	1f255	1ef60	0
1f255	1f275	1ef80	0
1f275	1f295	1efa0	0
1f295	1f2b5	1efc0	0
1f2b5	1f2d5	1efe0	0
1f2d5	1f2f5	1f000	0
1f2f5	1f315	1f020	0
1f315	1f335	1f040	0
1f335	1f355	1f060	0
1f355	1f375	1f080	0
1f375	1f395	1f0a0	0
1f395	1f3b5	1f0c0	0
1f3b5	1f3d5	1f0e0	0
1f3d5	1f3f5	1f100	0
1f3f5	1f415	1f120	0
1f415	1f435	1f140	0
1f435	1f455	1f160	0
1f455	1f475	1f180	0
1f475	1f495	1f1a0	0
1f495	1f4b5	1f1c0	0
1f4b5	1f4d5	1f1e0	0
1f4d5	1f4f5	1f200	0
1f4f5	1f515	1f220	0
1f515	1f535	1f240	0
1f535	1f555	1f260	0
1f555	1f575	1f280	0
1f575	1f595	1f2a0	0
1f595	1f5b5	1f2c0	0
1f5b5	1f5d5	1f2e0	0
1f5d5	1f5f5	1f300	0
1f5f5	1f615	1f320	0
1f615	1f635	1f340	0
1f635	1f655	1f360	0
1f655	1f675	1f380	0
1f675	1f695	1f3a0	0
1f695	1f6b5	1f3c0	0
1f6b5	1f6d5	1f3e0	0
1f6d5	1f6f5	1f400	0
